Id,Category
271,crocidare+V
272,invasare+V
273,mistur+N
274,imbevare+V
275,foracchiare+V
276,recidire+V
277,saltare+V
278,leggicchiare+A
279,denotare+V
280,entrare+V
281,completare+V
282,solubilizzre+V
283,decretazion+N
284,promuovare+V
285,rintonti+V
286,rischiarare+V
287,autopromuore+V
288,curvatura+N
289,accorare+V
290,sconore+V
291,oltrepassare+V
292,rifletter+N
293,baston+N
294,stellare+V
295,orchestrare+V
296,campioare+V
297,amnistiare+V
298,intrigare+V
299,rieducare+V
300,sbiancare+V
301,diurn+N
302,addi+V
303,ripromett+V
304,comprore+V
305,autorizzare+A
306,remare+V
307,roccion+N
308,strappare+V
309,rincarare+V
310,rifrangiare+V
311,intossicare+V
312,vaticinare+V
313,alluminre+V
314,snebbiare+V
315,autogoverno+N
316,imbarre+V
317,simulre+V
318,indottriare+V
319,co-presiedare+V
320,bollare+V
321,assommare+V
322,sedure+V
323,stimmatizzare+V
324,districare+V
325,ridie+V
326,strabuzzare+V
327,noto+N
328,dissanguare+V
329,coalizzatore+N
330,sviare+V
331,tossicchiare+V
332,seghettare+V
333,gargarizzare+V
334,idrico+N
335,stiracchiare+V
336,intera+N
337,scrosciare+V
338,abboccare+V
339,reintegrare+V
340,tentare+A
341,rimarcare+V
342,srotolatre+N
343,corrire+V
344,canterellavamore+N
345,becrre+V
346,saettar+N
347,standardizzatre+N
348,catarare+V
349,riattizzare+V
350,marcinoare+N
351,rivelavatre+N
352,burocratizzre+V
353,rifiatare+V
354,gargarizzare+V
355,spronare+V
356,disseminare+V
357,decomprimre+V
358,risconre+V
359,sciroppinoare+N
360,sostare+V
361,disinfettare+V
362,difendre+V
363,relazionavamore+N
364,pudibonere+V
365,affrontare+V
366,dichiaravre+N
367,riorientre+V
368,ristoro+N
369,beneficiario+N
370,aggrinzare+A
371,sottovalutazion+N
372,collimare+V
373,benefiere+V
374,disidratare+V
375,fiscalizzare+V
376,contaminare+V
377,indulgre+V
378,compendere+V
379,tamponare+V
380,contempare+V
381,costeggare+V
382,naufragare+V
383,riconsiderare+V
384,autoreplicare+V
385,schivare+V
386,riluttar+V
387,accantonare+V
388,sdottoreggiare+V
389,resuscitare+V
390,discutare+V
391,incerare+V
392,ardire+V
393,sciupinoare+N
394,ricondu+V
395,sottrare+V
396,torrefre+V
397,riavvolgre+V
398,romanzare+V
399,riabbattare+V
400,confederalo+A
401,dequalificare+V
402,spiumare+V
403,spionco+N
404,sollazzare+V
405,generare+A
406,rimontare+V
407,astrologare+V
408,teatrodanzo+N
409,assaporare+V
410,buttre+V
411,caricare+V
412,ondeggiare+V
413,equivalenta+N
414,volare+V
415,demonetizzare+V
416,primeggare+V
417,svincolare+V
418,figurare+V
419,minare+V
420,predetermine+V
421,scarrucolare+V
422,lastra+N
423,immagazzinare+V
424,ereditre+V
425,stilizzare+V
426,guadabile+A
427,imbandiare+V
428,cambiare+V
429,leggicchiare+V
430,contabil+A
431,sdottoreggiare+V
432,intercedere+V
433,controfirmare+V
434,borrare+V
435,sghignazzare+V
436,aureolavatre+N
437,posare+V
438,ser+V
439,lambicre+V
440,abbigliare+V
441,scaglioare+V
442,regolamentare+V
443,svilire+V
444,scempiare+A
445,appurare+V
446,volare+V
447,canticchiare+V
448,accessoriare+V
449,addormentare+V
450,indispettire+V
451,verbalizzare+V
452,storpiare+V
453,clerical-calcistico+A
454,siffare+V
455,rafforzare+V
456,ripubblicare+V
457,mimere+V
458,cristallizzare+V
459,scaffalare+V
460,invocare+V
461,giudicatore+A
462,derapare+V
463,consistre+V
464,desistare+V
465,gioconere+V
466,barcameare+V
467,imbrattare+V
468,impataccare+V
469,istillare+V
470,autocompatitre+N
471,inguainare+V
472,riallungare+V
473,fantinoare+N
474,maxi-inchiest+A
475,mozzare+V
476,dissecare+V
477,pettinare+V
478,copinoare+N
479,tostare+V
480,poppare+V
481,informare+V
482,fondre+V
483,contagiavatre+N
484,spingre+V
485,disabituare+A
486,scempiare+V
487,dardegg+V
488,sputare+V
489,scalcagnatre+N
490,idrogeare+V
491,immergare+V
492,rinunciavamore+N
493,mugolare+V
494,kafkiano+N
495,svezzare+V
496,politicizzare+V
497,orare+A
498,miticizzare+V
499,invelenivre+N
500,diminuie+V
501,offrire+V
502,sopraffare+V
503,ottantesimo+N
504,ingegare+V
505,assicurar+V
506,inchiodare+V
507,villeggiare+V
508,sfociare+V
509,spre+V
510,sfracellare+V
511,partitocrazio+N
512,prevenire+A
513,schioccare+V
514,tifare+V
515,sbellicare+V
516,ancheggiare+V
517,cauterizzatre+N
518,decriminalizzare+V
519,ronzare+V
520,impaniare+V
521,stravolgre+V
522,immigrare+V
523,congelare+V
524,dispre+V
525,bevicchiare+V
526,vescore+V
527,autorizzatore+N
528,calderone+N
529,tremar+N
530,autoemenere+V
531,amnistiar+N
532,involgre+V
533,addolorastre+N
534,reincarnare+V
535,inscrivere+V
536,ingessar+V
537,ecced+V
538,autocontrollare+V
539,scarrozzare+V
540,lp+N
541,assecondar+V
542,manifestare+A
543,profondare+V
544,interstellre+V
545,sbellicare+V
546,ricomparire+V
547,ghermito+N
548,riaffacciatre+N
549,sigillare+V
550,violinistico+A
551,graire+A
552,creare+V
553,incordare+V
554,ricopiare+V
555,autodetermiare+V
556,impensieriare+V
557,dispergere+V
558,mammana+N
559,disinfiammavamore+N
560,disturbare+V
561,avverare+V
562,ballare+V
563,sciupare+V
564,disperdre+V
565,commentre+V
566,calendarizzatore+N
567,strumentalizzare+V
568,armeggiare+V
569,alluminare+V
570,dedurre+V
571,secondare+V
572,brunere+V
573,posticipare+V
574,esecrandre+A
575,naufragare+V
576,debbiare+V
577,compatire+V
578,gelare+V
579,truccare+V
580,prendare+V
581,basculavatre+N
582,impellicciare+V
583,allettare+A
584,arcaicizzare+V
585,interstellavatre+N
586,inzuccherare+V
587,cavare+V
588,indonesiano+A
589,dilungare+V
590,rincoglionirebber+N
591,coere+V
592,confire+V
593,indugiare+V
594,involtare+V
595,preordinatore+N
596,asfissiare+V
597,vittimizzatre+N
598,risedere+V
599,impiastriciare+V
600,handicappare+V
601,sbandierare+V
602,parlamento+N
603,gracidare+V
604,pimentare+V
605,pregiudicare+V
606,pesare+V
607,ingegare+V
608,unanimo+N
609,abbiglare+V
610,gringere+V
611,tare+V
612,cresiare+V
613,accellare+V
614,paramento+N
615,fruizion+N
616,insospettissre+N
617,umanizzare+V
618,stornellare+V
619,braccare+V
620,tramortire+V
621,strapagare+V
622,marmorizzare+V
623,raddensare+V
624,dattilografare+V
625,rimpallare+V
626,appoare+V
627,svere+V
628,spaniare+V
629,defluire+V
630,petrolifeare+V
631,bestemmiare+V
632,spaglinare+N
633,affaticare+V
634,rinzaffare+V
635,facoltativo+A
636,allontanre+V
637,spiuminoare+N
638,inscrivere+V
639,smarcare+V
640,ammalre+V
641,ripetare+V
642,appassire+V
643,spilligere+V
644,castratre+N
645,distrattore+N
646,sgranchire+V
647,inquinare+V
648,presentre+V
649,utilizzoare+N
650,combattare+V
651,appoggiare+V
652,esplicre+V
653,illanguidiremo+N
654,infilzre+V
655,gentilianore+N
656,gracidare+V
657,stravaccare+V
658,volare+V
659,afferravamore+N
660,sopportare+V
661,contaminare+V
662,spazio+N
663,smerlre+V
664,zampare+V
665,sondare+V
666,ricoverare+V
667,brancicare+V
668,azziggere+V
669,stampigliare+A
670,snocciolare+V
671,svasre+V
672,sfrondare+V
673,finanziario+N
674,accenare+V
675,spericolatezza+N
676,cognomo+N
677,traumatizzavamore+N
678,arguire+V
679,miticizzare+V
680,disturbre+V
681,svilirebber+N
682,aggranchi+V
683,lustrinoare+N
684,ingrazare+V
685,ripetare+V
686,imbarcare+V
687,rappattumere+V
688,tentacolare+V
689,solleticare+V
690,beatificare+V
691,sterilizzavore+N
692,zoologico+A
693,direzionatore+N
694,appendere+V
695,nauseare+V
696,disperdre+V
697,faticare+A
698,esigre+V
699,pendolare+V
700,ricresrre+V
701,adire+V
702,deposere+V
703,ancheggiare+V
704,moderare+V
705,accordare+V
706,intabarrare+V
707,rintuzzatre+N
708,contaminare+V
709,autointerrogare+V
710,fulminare+V
711,antropomorfizzatre+N
712,stuzzicare+V
713,dragare+V
714,crocifiggiare+V
715,facilitare+V
716,prolungare+V
717,sghignazzare+V
718,compung+V
719,grattinoare+N
720,lungaggina+N
721,universalizzare+V
722,sbandierare+V
723,baleninoare+N
724,paritetico+N
725,inorgoglire+V
726,gemellaggio+N
727,cubare+V
728,civ+N
729,fiore+V
730,cauzionare+V
731,rintoccare+V
732,sgombrre+V
733,posticipare+V
734,fruttare+V
735,nazionalizzinare+N
736,traspirare+V
737,svincolare+V
738,sventaglire+V
739,armamentare+V
740,uniformre+V
741,schiodare+V
742,cogestare+V
743,sfibrare+V
744,medicare+V
745,emulare+V
746,sbocciare+V
747,infiocchettare+V
748,discernre+V
749,razionalizzare+V
750,squartare+V
751,deburocratizzare+V
752,resuscitare+V
753,panare+V
754,storicizzatore+N
755,stimolare+V
756,spenzolinare+N
757,quintuplicatre+N
758,intingire+V
759,setare+V
760,smistare+V
761,potare+V
762,ripiovre+V
763,intempestivre+N
764,eterno+N
765,appropriare+V
766,srotolre+V
767,divertio+N
768,insinure+V
769,antropomorfizzare+V
770,stimolare+V
771,girovagare+V
772,miscelare+V
773,lucrare+V
774,salare+V
775,superpagare+V
776,desinare+V
777,incatramare+V
778,sguinzagliare+V
779,imposizione+N
780,allertare+V
781,accavallare+V
782,depositavatre+N
783,strusciare+V
784,sprigionare+V
785,vagheggiare+V
786,rintanare+V
787,immergre+V
788,choccare+V
789,paraffinare+V
790,politicizzre+V
791,prestabilire+V
792,scocciare+V
793,costeggre+V
794,fisioterapirre+V
795,obnubilavore+N
796,carpire+V
797,notiziol+N
798,sgombare+V
799,affossator+N
800,censire+A
801,espandre+V
802,stacciatore+N
803,tramandare+A
804,deprimare+V
805,rinazionalizzare+V
806,obbligare+A
807,capponassre+N
808,rivendre+V
809,confederare+V
810,arruggini+V
811,ticchettare+V
812,esonerare+A
813,tramare+V
814,avvizzi+V
815,brutalizzare+V
816,spaziar+N
817,rieducare+V
818,scoppiettare+V
819,tentacolare+V
820,chiavatre+N
821,sussultare+V
822,molrre+V
823,infruttuoso+N
824,guadare+V
825,incattivire+V
826,co-produre+V
827,uniformare+V
828,saldare+V
829,lesinare+V
830,amnistiare+V
831,languire+V
832,vialetto+N
833,truccare+V
834,poeticizzare+N
835,coibentare+V
836,svaligre+V
837,rivuola+N
838,costeggiare+V
839,impaperare+V
840,concitare+V
841,imbiancare+V
842,ripagare+V
843,canticchere+V
844,recensire+V
845,moltiplicare+V
846,collare+V
847,deludare+V
848,inventare+A
849,colmere+V
850,brandeggiare+V
851,affermare+V
852,corteggiare+V
853,cuocer+V
854,calamre+V
855,dequalificare+V
856,reciprocare+V
857,contamin+N
858,congiunge+V
859,grattare+V
860,familiarizzare+V
861,fiaccatre+N
862,impalminoare+N
863,faticare+V
864,dilatare+V
865,spiaare+V
866,consacrare+V
867,conglomerare+V
868,coiare+V
869,annichilare+V
870,abbozzare+V
871,ribadi+V
872,afferrare+V
873,accoccolare+V
874,calmare+V
875,cannoneggire+V
876,sfoltie+V
877,collimare+V
878,piccare+V
879,maneggion+N
880,luccicare+V
881,sfarfallare+V
882,ferire+V
883,resinavamore+N
884,infrangibile+A
885,ammontare+V
886,cingiare+V
887,dimenticatre+N
888,palesre+V
889,inzuccherare+V
890,autentichinoare+N
891,vulner+N
892,dalmare+V
893,dichiarare+V
894,assegnare+V
895,compiaere+V
896,convenno+N
897,prelibare+V
898,matronale+N
899,lesiare+V
900,cauzioare+V
901,ossequiare+V
902,sottorappresentare+V
903,incretinre+V
904,faunire+V
905,porcellanatre+N
906,cesellire+V
907,riesplodere+V
908,percolavatre+N
909,deificare+V
910,bulinare+V
911,limitre+V
912,ingemmare+V
913,patteggiamento+N
914,rivaccinavamore+N
915,addure+V
916,autotassare+V
917,asfissiare+V
918,permutare+V
919,svinare+V
920,volare+V
921,deambulazione+N
922,snellire+V
923,prezzolare+V
924,biasimevolo+N
925,abboffire+V
926,smozzicare+V
927,relazioare+V
928,rinsecchire+V
929,calendarizzare+V
930,ingioiello+N
931,sbozzare+V
932,inebetire+V
933,brancolare+V
934,vinificare+V
935,statico+A
936,sbaciucchiare+V
937,rogare+A
938,sgozzare+V
939,cinquanto+N
940,vistare+V
941,paganeggiare+V
942,scenire+V
943,scorrevolezza+N
944,edificare+V
945,arioso+A
946,propendre+V
947,allevare+V
948,frugare+V
949,riposinoare+N
950,imbattare+V
951,sottende+V
952,rivoluzioneraare+N
953,mugghiare+V
954,sgonfiare+V
955,eroere+V
956,fanse+V
957,derubricare+V
958,snobbare+V
959,immobil+A
960,imbandierare+V
961,narcotizzre+V
962,massellare+V
963,esternalizzare+V
964,proliferare+V
965,investire+V
966,espirare+V
967,fiscalizzare+V
968,rifocillare+V
969,insegnre+V
970,compire+V
971,infradiciatore+N
972,psicoterapeutico+A
973,dolorare+V
974,mugolinoare+N
975,rifocillre+V
976,disidratare+V
977,straboccare+V
978,sovrappo+V
979,predetermiare+V
980,dardeggiare+V
981,promuovre+V
982,sgranchivatre+N
983,discerire+V
984,arrabbiare+V
985,intessere+V
986,giun+V
987,terriero+N
988,burlre+V
989,distendere+V
990,sanguignre+V
991,ciurlare+V
992,lesionassre+N
993,accorciatore+N
994,vantare+V
995,flottare+V
996,pervertire+V
997,affastellare+V
998,adorabile+A
999,stravaccare+V
1000,investre+V
1001,porgre+A
1002,espure+V
1003,arcaizzare+V
1004,settor+N
1005,centesimo+N
1006,leale+N
1007,canterellare+V
1008,rinunciatario+N
1009,presupporre+V
1010,insorrere+V
1011,seghettavore+N
1012,calamitaronoe+N
1013,sfamare+V
1014,sobbarcare+V
1015,grippare+V
1016,schematizzazion+N
1017,mobiliare+A
1018,sgombrare+V
1019,accentare+V
1020,respire+V
1021,preavvisare+V
1022,immaturo+N
1023,pizzicottare+V
1024,assertivore+N
1025,inchinare+V
1026,sobbarcare+V
1027,esterificare+V
1028,cicloturire+V
1029,perizio+A
1030,corrodre+V
1031,ritentastre+N
1032,supplementaro+N
1033,interpellre+V
1034,formalizzare+V
1035,rabbrivre+V
1036,avvizzire+V
1037,accoare+V
1038,appagare+V
1039,smozzicare+V
1040,prepassere+V
1041,imbrogliare+V
1042,sopraelencare+V
1043,incenerre+V
1044,fegare+V
1045,dissuadare+V
1046,gonfiare+V
1047,carezzare+V
1048,decision+N
1049,corrispondenzere+V
1050,peritare+V
1051,spelaccare+V
1052,abboffare+V
1053,autoanalizzare+V
1054,piotare+V
1055,rieducare+V
1056,annacquare+V
1057,fastoso+N
1058,raggruzzolare+V
1059,costellare+V
1060,affettare+V
1061,impiallaciare+V
1062,rastrellare+V
1063,escresre+A
1064,simulare+V
1065,firmare+V
1066,interpellare+V
1067,abbreviare+A
1068,piovigginre+V
1069,chiame+N
1070,ricoprire+V
1071,beare+V
1072,sanguinario+N
1073,riallungare+V
1074,gerarrre+V
1075,saettare+V
1076,autoanalizzare+V
1077,raccordare+V
1078,soffiigere+V
1079,iperbolico+A
1080,snobismo+N
1081,autocensurare+V
1082,straboccatre+N
1083,marsalre+V
1084,denudare+V
1085,vergognatre+N
1086,slanciare+V
1087,scardinre+V
1088,baccagliare+V
1089,chiazzre+V
1090,inveleare+V
1091,svinare+V
1092,sbarazzare+V
1093,sopraffa+V
1094,accompagnat+A
1095,delegare+V
1096,mascolinizzare+V
1097,frigare+V
1098,accapponatre+N
1099,inventariare+A
1100,rinsaldare+V
1101,appestare+V
1102,esag+V
1103,trasfusione+N
1104,sobbollire+V
1105,acciaccare+V
1106,inasprire+A
1107,turlupinavore+N
1108,eccedire+A
1109,dissanguare+V
1110,mobilier+N
1111,frustro+N
1112,sgonnellare+V
1113,serrare+V
1114,formalizzavore+N
1115,biscottare+V
1116,gratuere+V
1117,flottare+V
1118,crocefiggre+V
1119,ghettizzare+A
1120,tradere+V
1121,intromettre+V
1122,addolcire+V
1123,eredità+N
1124,salare+V
1125,spanciare+V
1126,imbevere+V
1127,marchiavamore+N
1128,disaffezionare+V
1129,fervere+V
1130,ospitare+V
1131,bestemmire+V
1132,bussare+V
1133,osannare+V
1134,corredare+V
1135,raffiare+V
1136,vellicare+V
1137,paninoterre+V
1138,pugnalare+V
1139,imputare+V
1140,stoppare+V
1141,avvagliere+V
1142,balenare+V
1143,raccogliere+V
1144,nettare+V
1145,percentualizzassre+N
1146,risolre+V
1147,ondeggiare+V
1148,chiazzare+V
1149,dinamizzare+A
1150,comunistizzavatre+N
1151,complicare+V
1152,scolpare+V
1153,riscrire+V
1154,imbrire+V
1155,depoliticizzavore+N
1156,ribatter+V
1157,pesare+V
1158,dequalificre+V
1159,disdi+V
1160,conduttoro+N
1161,piazzamento+N
1162,coalizzare+V
1163,disapprovre+V
1164,ispezioare+V
1165,strisre+V
1166,tripolare+V
1167,pecorinoare+N
1168,ridistribuivre+N
1169,scalre+V
1170,gociare+V
1171,alluvionatre+N
1172,riammogliare+V
1173,appurare+V
1174,illeggiadrento+N
1175,blaterare+V
1176,acchiappinoare+N
1177,cesellinoare+N
1178,riarmare+V
1179,insanguiare+V
1180,rinsaccare+V
1181,basculare+V
1182,autoriformare+V
1183,emofilico+A
1184,vaticinare+V
1185,intossicare+V
1186,rasciugavatre+N
1187,schermire+V
1188,vestizion+N
1189,celeberrimo+N
1190,diventare+V
1191,commissarie+V
1192,feri+V
1193,trabocrre+V
1194,presenti+V
1195,sbrigare+V
1196,infiltrare+V
1197,bollavatre+N
1198,svesti+V
1199,leire+V
1200,storicizzare+V
1201,autotrasportator+N
1202,contorre+V
1203,condizioare+V
1204,acciaiare+V
1205,allogare+V
1206,colcosiano+N
1207,anticaglio+N
1208,accasciare+V
1209,gettare+V
1210,acclre+V
1211,registrare+V
1212,ramavore+N
1213,somatizzare+V
1214,figurare+V
1215,tracimare+V
1216,straboccare+V
1217,deputare+V
1218,screpolare+V
1219,interagire+V
1220,magnetizzastre+N
1221,feri+V
1222,stimare+V
1223,peggiorare+V
1224,spingre+V
1225,impaperare+V
1226,fulgre+A
1227,rateare+A
1228,scollare+V
1229,incrostare+V
1230,gelificare+A
1231,recensire+V
1232,rodinoare+N
1233,paganeggiare+V
1234,satollare+V
1235,sottrare+V
1236,copiare+V
1237,allineare+V
1238,spiovare+V
1239,strillre+V
1240,diliscare+V
1241,frinire+V
1242,tamponare+V
1243,intromettre+V
1244,rimembrare+V
1245,ricomperare+V
1246,isoligere+V
1247,urgenzo+N
1248,autotutelare+V
1249,arrossare+V
1250,molare+V
1251,stravin+V
1252,ninnare+V
1253,cresre+V
1254,venire+V
1255,specificare+V
1256,imbiacre+V
1257,ricomparire+V
1258,cozzare+V
1259,stridare+V
1260,originre+V
1261,contamininare+N
1262,ammainavore+N
1263,ginnasial+N
1264,panavatre+N
1265,telecomandare+V
1266,scantinare+V
1267,accostumassre+N
1268,scotennare+V
1269,circumnavigare+V
1270,spenzolatre+N
1271,inaugure+V
1272,reintegrare+V
1273,spopolar+N
1274,premunire+V
1275,riconsacrare+V
1276,dorare+V
1277,zoppichinoare+N
1278,miserabil+A
1279,sconvolgire+V
1280,cristianizzavore+N
1281,inzuccherare+V
1282,epistolatre+N
1283,trarre+V
1284,resistenzial+A
1285,compagiare+V
1286,assoldare+V
1287,rabberciare+V
1288,pensre+V
1289,migliorare+V
1290,demonetizzare+V
1291,realistico+A
1292,battere+V
1293,reggiare+V
1294,alluvion+N
1295,resuscitare+V
1296,rispettare+V
1297,spocchioso+N
1298,intravedre+V
1299,congiungre+V
1300,ambiare+V
1301,sconnettare+V
1302,video-gioco+N
1303,congolese+N
1304,rovuscire+V
1305,manualizzare+A
1306,bimbo+N
1307,rinforzare+V
1308,spruzzar+N
1309,sprintavamore+N
1310,arrabbiare+V
1311,esaminare+V
1312,ermafrodito+N
1313,miagolare+V
1314,desertificare+V
1315,menscevico+N
1316,ionizzare+V
1317,partecipare+V
1318,indugiare+V
1319,indisponare+V
1320,argomentare+V
1321,bluffare+V
1322,affissare+A
1323,protende+V
1324,egemonizzare+V
1325,escutere+V
1326,disattrezzare+V
1327,stiracchiare+V
1328,stravin+V
1329,impaciare+V
1330,smarcare+V
1331,scaricare+V
1332,grippare+V
1333,punteggre+V
1334,sopradescrivere+V
1335,gioivo+N
1336,inquietare+V
1337,timoniere+N
1338,seminferma+N
1339,collettività+N
1340,impiagare+V
1341,smantellare+A
1342,interagir+N
1343,riattizzare+V
1344,girellare+V
1345,israelitico+A
1346,sfrattare+A
1347,nonire+V
1348,donchisciottescre+N
1349,svettare+V
1350,alieare+V
1351,fraseggre+V
1352,tendin+N
1353,tifare+V
1354,difettare+V
1355,rachitico+N
1356,affissare+V
1357,elettronico+A
1358,ribattare+V
1359,scolorire+V
1360,cislinoare+N
1361,striare+V
1362,riseminare+V
1363,profondavatre+N
1364,sospendre+V
1365,infilar+N
1366,asportare+A
1367,eliduto+N
1368,rielaborare+V
1369,enunciavatre+N
1370,riverire+V
1371,farmer+V
1372,sgozzre+V
1373,impratichitre+N
1374,consigliatore+N
1375,cresre+V
1376,sgomentare+V
1377,carreggiare+V
1378,espositore+N
1379,dipingere+V
1380,murare+V
1381,acclimatare+V
1382,bolere+V
1383,preavvisare+V
1384,illustravatre+N
1385,rifrangere+V
1386,autocontrollare+V
1387,sconsigliare+V
1388,rischiarare+V
1389,assicurare+V
1390,esortre+V
1391,rivangare+V
1392,eccepie+V
1393,plausibile+A
1394,incollerre+V
1395,ingioiellare+V
1396,strare+V
1397,chiazzastre+N
1398,sondaggire+V
1399,conteare+V
1400,telecomand+V
1401,fuere+V
1402,svilare+V
1403,palliare+V
1404,estingure+V
1405,tubolar+N
1406,ballottare+V
1407,straviziare+V
1408,inceneri+V
1409,parti+V
1410,strumentalizzare+V
1411,propendere+V
1412,imperiare+V
1413,minaccioso+A
1414,sbarrare+V
1415,delibare+V
1416,mancre+V
1417,commerrre+V
1418,disimpegare+V
1419,arcaicizzare+V
1420,sincerare+V
1421,atterrare+V
1422,arricciolare+V
1423,autoproclamare+A
1424,crespatre+N
1425,indoviare+V
1426,stagionare+V
1427,controdeduzion+N
1428,ricostruire+V
1429,gualci+V
1430,riabbattere+V
1431,denudare+V
1432,scantonavamore+N
1433,citare+V
1434,arioso+N
1435,palpeggiamento+N
1436,dichiarare+V
1437,accresire+A
1438,funzionavatre+N
1439,chiacchierare+V
1440,algido+N
1441,brandelere+V
1442,stare+V
1443,universalizzare+V
1444,comprovare+V
1445,libri-intervire+V
1446,divagare+N
1447,reintegre+V
1448,calamitare+V
1449,impalmre+V
1450,chiare+V
1451,autocensuere+V
1452,allegare+V
1453,affaciare+V
1454,disgustoso+A
